sqft_living,bedrooms,bathrooms,location_grade,year_built,has_garage,distance_to_center_km,price
1899,2,2.5,Tier2,1998,1,11.2,616100.0
1503,5,1.0,Tier2,1993,1,6.2,561700.0
1101,3,2.0,Tier2,2021,1,2.8,521700.0
1608,2,3.0,Rural,2003,1,20.1,333300.0
3400,3,3.0,Tier1,1983,1,16.3,1152900.0
1272,3,3.5,Tier3,2020,1,13.0,474000.0
1808,2,2.5,Tier2,1985,1,3.2,582700.0
4385,2,1.0,Tier1,1967,0,1.2,1268300.0
1263,4,1.0,Tier1,1987,1,10.3,619000.0
2205,3,3.5,Rural,2008,0,9.7,486200.0
3465,3,3.0,Tier3,1958,1,2.5,798000.0
2121,3,1.5,Rural,2022,1,0.7,454600.0
2623,1,2.5,Rural,2021,1,1.0,548800.0
2335,2,3.5,Tier1,2000,1,59.2,799900.0
2047,3,2.5,Tier2,1984,1,18.4,620500.0
2917,2,3.0,Tier3,1954,1,30.6,614100.0
2174,1,3.0,Tier2,1963,0,2.6,644000.0
1510,4,1.5,Tier2,1979,0,38.8,427100.0
1746,5,1.5,Tier2,1953,1,1.8,639400.0
1928,4,1.0,Tier2,1988,1,8.5,614200.0
1353,4,2.5,Tier2,2013,1,21.2,511500.0
1782,2,2.5,Tier1,1974,1,5.2,661000.0
1668,5,3.0,Tier2,1977,0,6.6,573000.0
2171,2,1.0,Tier2,2015,0,1.6,603800.0
3875,5,3.5,Tier2,1971,0,1.6,1057100.0
1829,5,2.5,Tier1,1980,1,11.6,767000.0
3139,3,1.0,Tier3,1972,1,13.5,688100.0
2137,5,1.0,Tier1,1997,1,18.0,877800.0
1778,3,3.0,Tier2,1969,0,9.8,572800.0
1318,2,1.0,Tier3,1987,1,12.5,336900.0
1784,3,1.5,Tier2,2004,1,0.2,633500.0
1735,3,1.5,Tier2,2017,1,2.1,686300.0
1159,2,2.0,Tier3,1950,0,50.3,286600.0
1246,3,3.0,Tier2,1956,1,0.9,459900.0
1935,5,3.5,Tier3,2006,1,13.6,522000.0
3125,2,2.0,Tier3,1961,0,2.3,606100.0
1584,4,1.5,Tier3,1954,0,15.1,359400.0
764,4,2.0,Tier2,1999,1,14.7,414700.0
500,4,3.0,Tier1,1991,1,3.2,492600.0
976,5,3.0,Tier2,1961,0,3.8,428200.0
2229,3,1.0,Tier2,1967,0,12.8,641200.0
843,5,2.5,Tier2,2015,1,5.9,506900.0
2385,4,1.0,Tier2,2023,1,2.6,697400.0
2175,2,3.0,Tier2,1966,1,15.8,678700.0
1559,3,1.5,Tier1,2017,0,2.0,727800.0
730,3,3.5,Tier2,2020,1,23.2,432500.0
1164,2,1.5,Tier2,2011,1,8.7,447100.0
1457,3,1.0,Tier3,1990,1,1.3,428200.0
1914,3,3.5,Tier1,1983,0,14.2,711300.0
858,2,3.0,Tier2,2019,1,8.8,479800.0
2986,3,1.5,Rural,1994,1,4.2,500700.0
1906,4,3.0,Tier1,2007,1,6.6,842000.0
2003,3,3.5,Tier2,2000,1,4.3,669500.0
2169,1,3.5,Tier1,1983,1,3.7,937400.0
2858,1,1.5,Tier3,1993,1,2.1,621500.0
1786,3,3.0,Tier2,1964,1,5.4,643700.0
2230,4,2.0,Tier2,2019,0,3.5,716200.0
1173,2,3.0,Tier2,1999,1,13.8,451500.0
3408,3,3.5,Tier3,1981,1,13.8,730300.0
1732,2,3.0,Tier1,2016,1,8.4,768400.0
1170,3,1.0,Tier1,1952,1,18.1,499900.0
1318,4,2.0,Tier3,2023,1,22.1,443500.0
580,3,2.5,Tier2,2000,0,10.4,333800.0
1314,2,1.0,Tier3,2016,1,11.6,375800.0
500,3,2.5,Tier2,1997,1,4.0,346000.0
2302,1,1.5,Tier3,1966,0,27.0,415100.0
1976,3,2.5,Tier2,1956,1,0.3,598500.0
1005,3,3.0,Tier3,1962,0,5.1,384500.0
1597,2,2.5,Rural,2015,1,15.4,339200.0
1630,2,3.5,Tier2,1953,1,1.0,562400.0
904,3,1.0,Tier1,1959,1,2.4,475000.0
1471,4,1.0,Tier2,1966,1,10.7,492500.0
1653,5,2.5,Tier1,2001,1,9.9,809000.0
1453,1,1.0,Tier1,1955,1,16.1,525200.0
1170,4,3.5,Tier2,2018,1,20.1,530800.0
987,3,1.0,Tier2,2023,0,1.7,488300.0
1429,3,2.5,Tier2,1958,1,0.2,508200.0
1238,4,2.0,Tier2,1970,0,14.0,433200.0
2105,4,2.0,Tier3,1973,1,4.3,576400.0
2936,5,1.5,Tier1,1953,1,11.8,1080500.0
2436,3,1.0,Tier1,1973,0,2.0,823000.0
1678,3,2.5,Tier1,2008,1,7.6,716700.0
1191,4,1.0,Tier2,1952,0,8.4,414700.0
2407,2,3.0,Tier1,2017,1,10.6,950300.0
2162,3,3.5,Tier2,1989,1,8.6,735000.0
2845,3,1.0,Tier2,1997,1,8.2,812500.0
1787,3,1.0,Tier3,2003,1,4.9,488200.0
3328,2,2.0,Tier1,1984,1,0.9,1188900.0
1787,2,3.5,Tier3,2005,1,1.1,511600.0
1188,4,2.5,Tier3,1989,1,6.8,428600.0
1294,2,1.0,Tier3,2017,1,5.3,362700.0
2061,3,2.0,Rural,1995,1,8.7,418000.0
1236,2,1.5,Tier1,1962,1,4.4,521600.0
3318,1,3.5,Tier1,1976,1,14.0,1081000.0
1985,1,2.0,Tier3,1955,0,23.9,474300.0
1662,2,2.0,Tier2,1966,0,4.3,458900.0
1725,4,2.0,Tier2,1985,1,2.6,609500.0
1446,2,1.0,Tier3,1951,0,1.5,397300.0
668,5,1.0,Tier3,2001,1,11.5,396600.0
1294,3,1.5,Rural,2015,0,7.0,318000.0
3135,3,3.0,Rural,2001,1,2.5,592600.0
1808,3,3.0,Tier3,1992,1,12.7,508300.0
2559,3,3.0,Tier2,1971,1,1.9,816500.0
2592,4,3.5,Tier3,2004,1,9.7,687900.0
1604,2,3.5,Tier1,2016,1,9.0,751300.0
2177,3,1.5,Tier1,2009,1,15.9,882300.0
707,4,3.5,Tier3,2007,0,0.7,351100.0
3023,4,3.0,Tier2,1961,1,26.3,756100.0
2914,4,3.0,Tier1,2018,1,14.6,1055000.0
2036,3,2.0,Tier1,1988,1,2.9,838000.0
1838,4,3.5,Tier3,1962,1,2.4,540400.0
1614,3,1.0,Tier2,1990,1,6.8,580700.0
2690,3,1.0,Tier3,2006,1,20.4,625400.0
2289,2,2.0,Tier1,2002,1,22.2,838800.0
500,3,2.0,Tier3,1961,1,8.8,297100.0
1374,2,2.0,Tier3,1962,1,23.7,357400.0
924,3,1.0,Tier2,2023,0,0.1,385400.0
836,4,3.0,Tier2,2006,0,0.4,409500.0
2677,2,2.0,Tier1,1989,1,29.1,939800.0
1598,2,1.5,Rural,1994,1,17.9,247700.0
2021,2,2.0,Tier3,1984,1,7.2,507800.0
1692,4,2.5,Rural,1952,1,16.8,457300.0
842,3,2.0,Tier2,1954,1,37.4,318900.0
716,3,1.0,Tier3,1960,1,17.7,248900.0
1330,4,3.5,Tier3,2020,0,22.2,370300.0
1383,4,2.0,Tier3,2005,1,17.2,487700.0
1383,3,3.5,Rural,1959,1,2.2,390800.0
1402,3,2.5,Tier2,1983,1,21.5,519000.0
3760,4,1.5,Tier1,2016,1,2.6,1317500.0
2542,3,3.5,Tier3,2021,1,26.8,644900.0
1820,2,3.0,Tier3,1980,1,7.4,493500.0
1579,4,2.0,Tier2,2020,1,13.6,554700.0
1605,3,2.5,Tier1,2015,1,8.3,796700.0
2252,2,2.5,Tier2,2019,1,1.2,732500.0
1573,3,3.5,Tier2,1990,1,4.1,625300.0
2428,1,1.5,Tier2,2012,1,49.4,585500.0
1909,2,1.0,Tier3,1981,1,38.8,419700.0
3775,4,2.0,Tier3,1969,1,4.6,820500.0
1530,1,2.5,Tier1,2006,0,67.2,447800.0
2622,3,1.5,Tier2,1999,1,22.4,725000.0
966,3,3.0,Tier2,1974,0,11.3,517000.0
1205,2,2.5,Tier1,1961,0,0.5,601300.0
3549,5,1.5,Tier3,2020,1,27.8,863000.0
2383,2,1.0,Rural,1988,1,9.8,428000.0
2037,3,1.0,Tier2,1966,0,24.3,523500.0
4207,3,2.5,Tier3,1994,1,21.6,829500.0
1590,2,2.5,Tier3,1960,1,21.5,461500.0
2619,1,3.5,Tier3,2019,0,14.4,582700.0
2705,3,2.0,Tier1,1972,1,4.1,1054900.0
3205,5,1.5,Rural,2019,1,4.9,561400.0
910,2,2.5,Tier2,1987,1,4.4,462700.0
1585,3,2.0,Tier2,1951,0,0.2,466400.0
1894,3,3.5,Tier1,2021,1,10.5,850400.0
3182,4,2.0,Tier2,1986,1,14.4,874800.0
2000,3,2.5,Tier1,1998,0,23.1,736000.0
2707,3,1.0,Tier1,2001,1,1.8,995900.0
869,3,1.5,Tier2,1982,1,9.4,391900.0
1418,3,1.5,Tier3,1971,1,0.1,455600.0
2909,4,1.0,Tier3,1954,1,1.2,584700.0
1505,2,2.5,Tier2,1967,1,0.7,522300.0
1645,3,1.5,Tier3,1987,1,15.5,484900.0
3159,4,2.5,Tier3,1986,1,1.0,771100.0
1073,4,3.5,Tier3,2013,0,15.1,443000.0
1196,5,2.5,Tier1,1959,1,3.4,683100.0
823,4,2.0,Tier3,1991,1,25.2,274300.0
3215,3,1.0,Rural,1997,1,20.1,553800.0
2521,3,2.5,Tier3,1993,0,38.0,537400.0
2493,3,3.5,Tier2,1965,1,25.8,786900.0
1399,2,3.0,Tier2,2003,1,32.5,505400.0
791,3,1.0,Tier3,1984,1,23.5,290900.0
678,3,1.5,Tier2,1977,1,14.2,365700.0
2919,2,2.0,Tier1,1951,1,2.2,1024000.0
2097,4,1.5,Tier2,1962,1,3.8,670600.0
2276,3,3.5,Tier3,1990,1,2.9,604000.0
1855,5,3.5,Tier3,2008,0,11.1,562800.0
1127,1,1.5,Tier1,2018,1,8.4,606200.0
1430,2,1.0,Rural,2002,1,24.2,328000.0
994,3,1.5,Tier2,1994,1,36.6,391100.0
932,2,2.5,Tier3,1969,0,6.2,370000.0
2430,3,1.5,Tier3,1973,1,8.5,613100.0
710,4,2.0,Tier3,2010,0,42.7,267700.0
997,2,2.0,Rural,2007,0,3.9,232500.0
1469,3,3.0,Tier2,1976,1,18.9,481400.0
1714,3,2.0,Tier3,1975,1,3.1,472600.0
818,3,1.5,Tier1,1956,1,13.7,450700.0
700,4,2.0,Tier3,1991,1,3.5,390100.0
1989,4,1.0,Tier3,1996,1,25.8,386300.0
1808,3,2.0,Tier3,2002,1,9.9,464500.0
2897,3,2.5,Tier2,2008,0,2.5,831000.0
1727,3,1.0,Tier3,1987,1,3.0,437600.0
2079,4,3.0,Tier1,2018,0,8.2,859800.0
1157,3,2.5,Tier1,2002,1,39.1,510500.0
1181,3,1.5,Tier3,1964,1,17.6,311400.0
861,4,1.5,Tier2,1975,0,8.0,355700.0
1163,2,1.5,Tier3,1997,1,4.9,428100.0
1420,4,2.5,Tier2,1968,1,9.6,556100.0
2770,2,2.5,Tier1,1958,1,16.6,969600.0
1079,3,2.5,Tier3,2013,1,18.4,380100.0
3851,3,1.0,Tier2,2003,1,4.7,1042800.0
2160,5,3.5,Tier1,2000,1,15.3,964200.0
1966,4,1.0,Tier3,1988,1,12.9,524100.0
1666,3,1.5,Tier2,1953,0,38.4,399800.0
1524,3,3.5,Tier3,1952,1,32.1,382900.0
1247,3,2.0,Tier2,2013,0,18.7,495900.0
801,4,1.5,Tier3,1978,1,15.4,293400.0
1097,3,3.0,Tier3,1960,1,3.8,343700.0
3212,3,1.0,Tier3,2007,1,22.4,665000.0
2102,2,2.5,Tier1,1976,1,6.7,884000.0
3199,4,1.0,Tier3,1970,0,3.8,669200.0
1231,3,2.5,Tier3,1988,1,5.8,427700.0
979,3,3.5,Tier3,1995,1,21.7,342900.0
1659,1,3.0,Tier2,2015,1,1.9,633800.0
1117,4,3.5,Tier3,1985,1,7.3,444300.0
1816,1,3.0,Tier3,2014,0,8.1,432800.0
716,3,1.0,Tier1,2012,0,0.4,491700.0
542,5,2.5,Tier2,1984,1,2.6,351700.0
1932,3,3.5,Tier3,1980,1,21.0,490200.0
3252,2,3.0,Tier1,1977,1,21.3,1084200.0
1971,3,1.5,Rural,1950,1,4.2,447700.0
2092,4,1.5,Tier3,1974,0,24.9,485000.0
1691,3,3.5,Tier3,1992,1,17.7,459800.0
1764,5,2.5,Tier2,2016,1,6.5,658900.0
780,2,3.5,Tier1,2012,1,16.6,565000.0
1137,3,1.0,Rural,2000,0,39.0,193500.0
2757,3,3.0,Tier2,1951,1,7.4,824400.0
938,4,1.0,Tier3,2013,1,3.3,357900.0
1405,2,1.5,Tier2,2023,1,34.1,423400.0
2732,4,3.0,Tier1,2018,1,11.1,1060000.0
1742,3,3.5,Tier1,1958,0,1.3,697600.0
1782,3,1.0,Tier2,1951,1,10.2,460800.0
1410,2,2.0,Rural,1983,1,8.3,318000.0
2229,4,2.5,Tier2,2009,1,23.2,691100.0
2468,2,2.5,Tier2,2010,1,9.1,756400.0
1108,3,2.0,Tier2,1980,1,3.5,468500.0
819,2,1.5,Tier2,1959,1,13.5,421300.0
601,4,3.0,Tier2,1985,1,9.4,405900.0
2048,3,2.5,Tier3,1998,1,3.2,513500.0
1945,4,2.0,Tier2,2019,1,10.2,630500.0
4336,2,3.5,Tier2,1998,0,20.7,1071600.0
1695,3,2.0,Tier1,1952,1,0.3,712700.0
1559,3,1.5,Rural,2023,1,12.0,315400.0
1843,4,1.5,Tier1,1954,1,5.2,753900.0
1888,4,1.0,Tier1,2010,1,4.2,816500.0
1504,1,2.5,Tier3,1975,1,6.0,479500.0
1125,3,1.0,Tier2,2021,0,5.0,423100.0
1654,2,2.0,Tier2,1954,1,21.4,476400.0
1626,3,3.0,Tier2,1964,1,3.9,638900.0
1614,2,3.0,Tier3,1965,1,15.9,446900.0
2332,3,1.5,Tier1,1950,1,1.2,835400.0
1641,3,3.0,Tier3,1965,1,36.3,382400.0
828,3,3.0,Tier3,1986,1,11.7,303600.0
1214,3,3.0,Tier2,1952,1,14.7,464000.0
1496,3,2.0,Tier2,2001,1,4.2,601000.0
1676,3,3.0,Tier2,1996,0,6.4,643900.0
2067,2,3.5,Tier3,1962,0,3.0,471000.0
1682,4,3.0,Tier2,2004,1,32.4,598000.0
548,2,3.0,Tier2,1970,1,8.0,353000.0
878,3,1.0,Tier2,2015,0,11.9,372900.0
2130,3,2.0,Rural,2003,1,15.9,405400.0
1477,3,1.5,Tier2,1976,1,5.6,456000.0
1748,2,1.0,Rural,1987,0,15.3,342900.0
1391,3,2.5,Tier2,2007,0,13.5,462300.0
1212,4,2.0,Tier1,2011,1,14.7,616700.0
1415,3,3.5,Tier1,1995,1,8.1,739100.0
1757,3,2.0,Tier2,1960,1,5.8,512600.0
1635,3,2.5,Tier1,2021,1,3.0,749800.0
2461,2,2.5,Tier1,1957,1,20.9,891500.0
748,3,2.5,Rural,2020,1,11.2,275600.0
802,4,1.5,Tier3,2013,1,7.1,332300.0
1469,2,3.0,Tier3,1970,1,34.6,377800.0
2077,2,2.0,Tier1,2021,1,0.6,902900.0
2277,2,3.0,Tier1,2012,1,22.8,912200.0
1235,3,3.0,Tier1,2013,1,72.3,420200.0
500,5,3.5,Tier3,1969,1,26.2,249200.0
1254,2,2.5,Rural,1957,0,20.0,277700.0
1947,3,1.5,Tier2,2007,1,5.6,666000.0
1621,2,3.5,Tier1,1995,0,3.2,690500.0
2111,5,1.0,Tier2,1980,0,15.9,582800.0
2715,2,1.5,Tier2,1958,1,4.4,732500.0
1516,3,3.0,Tier2,1964,1,2.3,566600.0
1320,3,1.5,Tier3,1975,0,18.5,352200.0
1051,3,2.5,Tier3,1959,1,4.5,321500.0
800,3,1.0,Tier1,1978,1,29.5,400000.0
691,3,2.5,Tier1,1985,1,22.0,426200.0
1177,3,1.0,Rural,1986,1,22.6,222500.0
2552,2,3.5,Tier1,2020,0,17.7,949000.0
2201,2,3.0,Tier1,1972,0,25.5,760500.0
1291,3,1.0,Tier1,1990,0,19.7,563000.0
3867,2,1.0,Tier1,1977,1,11.1,1183500.0
1216,2,1.0,Tier2,1997,1,4.2,473500.0
2828,3,1.5,Tier3,1987,1,26.3,553400.0
3121,5,3.5,Tier2,1980,1,22.0,878900.0
2006,3,1.5,Tier2,1963,1,7.7,627000.0
1172,2,3.0,Tier3,2022,1,0.5,458700.0
1372,2,1.0,Tier2,1978,1,12.2,476900.0
1776,5,3.5,Tier3,2000,1,0.6,599800.0
811,2,3.5,Tier3,1998,1,31.3,288700.0
1003,2,2.0,Tier1,1992,1,39.1,458900.0
962,3,3.0,Tier3,2021,1,2.5,479100.0
2073,3,3.5,Tier2,1954,1,13.5,632200.0
2703,3,1.0,Rural,1991,1,1.2,544100.0
2239,2,1.0,Tier2,1956,0,15.7,603300.0
2508,1,3.5,Rural,1991,0,5.1,455100.0
1125,5,1.5,Tier3,1985,0,13.7,357400.0
1401,2,3.0,Tier1,1976,1,5.6,676100.0
1450,3,1.0,Tier2,2007,1,1.9,571900.0
2002,3,3.5,Rural,1995,1,6.3,453400.0
1193,3,1.0,Tier3,2015,1,1.4,393100.0
2440,3,3.5,Tier1,1974,1,10.3,878600.0
3082,2,3.0,Tier3,2022,0,0.5,749900.0
2048,3,3.5,Tier2,1976,1,9.0,607700.0
1372,4,2.0,Tier1,1950,0,26.1,492200.0
1077,4,3.5,Tier2,2023,0,21.8,464100.0
963,2,3.5,Tier1,1991,1,25.7,481000.0
552,2,3.0,Tier3,2001,1,30.6,267300.0
1471,4,3.5,Tier2,1974,1,1.3,586600.0
1432,3,3.0,Tier3,2003,1,1.7,506200.0
2374,4,2.0,Tier1,2016,1,9.8,902200.0
1230,2,3.0,Tier2,1955,1,26.9,393900.0
1510,3,1.0,Tier1,2007,1,44.0,559300.0
1856,3,3.0,Tier1,2019,1,0.6,874800.0
2033,3,2.0,Tier1,2002,1,5.3,875900.0
2254,3,2.5,Tier1,2015,1,2.9,913600.0
1774,1,3.5,Tier2,2007,1,16.9,577300.0
835,3,3.0,Tier2,1951,1,12.3,409700.0
1954,2,3.5,Tier2,1971,1,1.5,579500.0
1188,3,1.5,Tier2,1986,1,7.9,482000.0
2759,5,1.0,Tier3,1969,0,13.9,633400.0
1649,3,1.0,Rural,1973,1,18.1,276700.0
1822,4,1.5,Tier2,2014,1,0.2,645300.0
4495,2,1.5,Tier2,2014,1,26.5,1132500.0
2271,3,3.0,Tier1,1950,1,10.1,890400.0
1938,5,1.5,Rural,1952,1,20.0,389100.0
1530,2,2.5,Tier1,1995,1,19.8,695300.0
871,1,3.5,Tier2,2004,1,2.5,515000.0
1480,3,3.5,Tier2,2013,1,1.4,617000.0
1070,2,2.0,Tier2,1994,1,15.3,413200.0
3249,3,1.5,Tier1,1975,1,2.0,1158500.0
1950,4,1.5,Tier3,2014,1,22.8,500300.0
2715,3,2.5,Tier1,1973,1,15.5,938200.0
1214,2,1.0,Tier3,2023,0,22.1,317400.0
1108,3,1.0,Tier1,1984,1,4.3,582000.0
2174,3,3.5,Tier1,1973,0,4.6,852600.0
1050,1,3.5,Rural,1977,1,13.3,262900.0
1324,3,3.0,Tier1,1965,1,0.4,643500.0
3317,3,2.5,Tier3,2008,0,15.6,774300.0
1349,3,2.0,Tier2,2003,1,21.7,477500.0
778,2,2.0,Tier1,1965,0,6.4,409200.0
630,3,2.5,Rural,1964,1,17.4,193100.0
730,2,2.0,Tier1,1960,1,2.3,493800.0
2786,2,1.0,Tier3,2014,0,4.7,643700.0
1250,4,2.0,Tier1,2017,1,43.9,539400.0
4431,3,2.0,Tier3,1992,0,51.5,803400.0
3098,1,2.5,Tier1,2018,1,8.6,1109400.0
3668,2,2.5,Tier2,1962,1,32.7,853300.0
2536,2,2.0,Tier3,1959,1,8.9,522500.0
2123,2,1.5,Rural,1990,0,4.1,414800.0
1089,2,2.5,Rural,1999,1,3.7,282500.0
1630,2,3.0,Tier3,2020,1,31.8,457200.0
2218,3,3.0,Tier3,2008,0,2.3,597000.0
2467,3,1.0,Tier1,1988,0,10.4,863600.0
913,3,2.0,Tier2,1952,1,9.7,376300.0
1491,3,1.5,Tier2,1956,1,16.1,457300.0
1571,2,1.0,Tier2,1998,1,8.3,485300.0
1543,5,2.0,Tier2,1975,1,3.8,563900.0
974,4,2.5,Tier2,1982,1,2.2,498900.0
3474,4,3.0,Tier1,1997,1,11.6,1287800.0
1468,4,3.5,Tier3,1951,1,15.2,483900.0
1010,4,1.5,Tier1,2020,0,10.1,572900.0
3512,3,3.5,Tier2,1981,0,16.1,971500.0
3100,2,3.0,Tier2,1953,1,1.8,843900.0
1742,3,3.5,Tier3,1969,1,25.7,415200.0
627,3,2.5,Tier3,1985,1,10.5,372900.0
1305,3,2.0,Tier3,1981,1,1.6,441400.0
699,3,2.5,Tier1,1977,1,7.4,441800.0
2053,2,3.5,Tier2,1950,1,22.4,654700.0
1262,3,2.5,Tier1,2009,1,27.3,577500.0
1612,4,3.0,Tier2,2005,1,3.7,615100.0
3373,3,1.5,Tier2,1984,1,14.9,915800.0
1219,3,2.5,Tier1,1979,1,1.3,697800.0
2014,2,3.0,Tier2,2003,1,0.4,652400.0
2283,3,1.5,Rural,1985,1,9.9,483500.0
2747,4,2.0,Rural,2004,1,14.2,542400.0
1558,3,3.5,Tier2,2007,0,19.1,522300.0
1484,4,2.0,Tier1,2014,0,5.0,705100.0
1468,3,1.0,Tier1,2018,1,0.1,767600.0
1927,3,3.0,Tier2,2000,1,7.8,609100.0
3041,2,1.5,Rural,1971,1,0.2,574500.0
1436,3,2.5,Tier1,2002,1,1.2,760500.0
500,3,2.0,Tier3,1985,1,4.7,306000.0
2397,3,1.5,Tier1,2017,1,6.9,943700.0
1684,3,3.0,Rural,1985,1,3.9,459100.0
2055,4,1.0,Tier2,2001,1,10.5,724700.0
713,2,2.0,Tier3,2002,1,0.7,308900.0
1265,4,3.5,Tier2,1999,1,1.9,598000.0
2310,2,1.5,Tier3,1990,1,14.3,605600.0
856,3,3.5,Tier1,1967,1,1.8,546800.0
2011,1,1.5,Tier1,1971,1,12.3,738000.0
1606,3,1.5,Rural,2015,1,0.7,414800.0
1138,3,3.0,Rural,1970,0,6.3,220700.0
1094,2,3.0,Tier3,1993,0,2.3,408400.0
979,3,3.0,Tier3,1996,1,1.4,362900.0
1680,4,2.5,Tier3,1988,1,10.0,499800.0
1770,2,1.5,Tier1,1978,1,31.6,670100.0
1371,4,2.0,Tier2,2003,0,0.7,457000.0
949,3,3.5,Tier2,1966,1,6.6,483000.0
1986,3,3.0,Tier3,2009,1,14.8,614700.0
2416,2,3.0,Tier2,1980,0,7.5,681100.0
2147,2,3.5,Tier1,2022,1,19.7,897700.0
3735,2,3.5,Tier2,1998,1,2.4,1077100.0
1498,2,1.5,Tier3,1951,1,38.5,270200.0
2908,2,3.0,Tier2,1997,1,5.8,870800.0
1191,3,3.5,Tier1,1963,1,5.0,678800.0
1100,4,2.5,Tier1,2008,1,24.9,613400.0
1727,4,2.5,Tier1,2007,1,10.0,803100.0
3195,3,3.0,Tier2,2007,1,8.7,883400.0
1422,2,3.5,Tier3,2000,0,15.6,466300.0
713,2,1.5,Tier3,1951,1,10.4,263200.0
2396,3,1.5,Tier3,1990,1,2.1,563300.0
1575,2,1.5,Tier2,1965,0,13.5,456100.0
1869,3,1.0,Tier3,1953,0,1.7,464300.0
1128,3,3.0,Tier1,1961,1,19.7,503400.0
1720,3,1.5,Tier2,1978,0,55.0,410400.0
769,3,2.5,Tier3,1956,1,5.7,304000.0
3498,4,3.5,Tier1,1963,0,7.1,1249800.0
2593,4,2.0,Tier1,1961,1,0.6,918600.0
1685,3,2.0,Tier3,1954,1,0.2,500900.0
2366,4,1.5,Tier2,1981,0,30.5,673800.0
1193,5,2.0,Tier3,2023,1,1.7,397300.0
2542,3,2.0,Tier1,1992,1,7.1,902300.0
1393,3,1.0,Tier3,2018,1,20.3,464300.0
1346,3,2.5,Tier2,1994,1,26.4,448500.0
1012,4,2.5,Tier1,1958,1,8.8,677500.0
1975,4,1.0,Tier3,1998,0,10.0,432600.0
1651,2,1.0,Tier1,1982,1,13.3,659100.0
2950,3,2.0,Tier2,1967,1,39.0,726400.0
954,3,3.0,Tier1,1958,0,11.1,498600.0
1979,3,3.5,Tier1,2011,1,9.8,894700.0
2705,2,3.5,Tier2,2006,1,0.2,857700.0
4477,4,2.0,Tier1,1978,1,1.0,1470800.0
1784,3,3.5,Rural,1974,1,10.3,357600.0
1380,4,1.0,Tier1,1964,1,33.0,574400.0
1764,4,2.5,Tier2,1955,0,24.2,545600.0
2845,3,3.5,Tier1,1991,1,48.6,942600.0
2845,3,2.0,Tier2,1978,1,9.0,819500.0
1545,3,3.0,Rural,1953,1,18.6,355900.0
2823,2,2.0,Tier1,2006,1,22.0,949100.0
1616,3,1.5,Rural,1998,1,12.5,370300.0
2354,2,2.0,Tier1,1993,1,5.0,883100.0
2082,3,1.0,Tier3,1963,1,7.6,530400.0
1354,2,2.5,Tier2,1952,0,23.4,402300.0
1030,2,2.5,Tier3,2011,1,4.3,411500.0
2737,2,3.5,Tier2,2013,1,30.9,752400.0
3074,1,1.0,Tier2,1994,0,3.1,812800.0
1957,3,1.5,Tier1,2007,1,16.6,748800.0
1615,3,1.0,Tier1,1969,1,11.9,656700.0
894,3,2.0,Rural,2007,1,16.6,299600.0
2705,2,1.0,Tier2,2006,1,6.9,776900.0
1857,2,1.0,Tier2,2017,1,32.4,539000.0
1445,1,1.5,Tier3,2001,1,12.0,462600.0
2384,2,2.0,Tier2,1986,1,4.1,747200.0
812,4,3.0,Rural,1957,1,12.2,290500.0
987,2,3.0,Tier3,1993,1,4.1,403600.0
1172,3,2.5,Tier2,1954,1,4.2,498900.0
2053,2,3.5,Tier3,2018,0,6.1,612100.0
1772,2,1.0,Tier1,1980,0,23.0,597800.0
2161,3,2.5,Tier2,1994,0,8.3,699100.0
2624,3,1.5,Tier2,1958,1,13.6,725000.0
2196,2,3.0,Tier1,1981,1,6.0,863100.0
3532,2,1.0,Tier3,1982,1,3.7,742700.0
2621,3,1.5,Rural,2016,1,37.1,452100.0
1543,2,3.5,Tier2,1979,1,11.1,525600.0
1261,2,1.5,Tier2,1978,1,32.6,421700.0
1565,5,1.0,Rural,1952,1,2.7,345400.0
2230,3,3.5,Tier2,2006,1,1.9,760300.0
1325,3,1.5,Tier2,1979,0,23.2,467400.0
2258,3,3.5,Tier2,1958,1,13.7,692700.0
2144,3,1.0,Rural,1975,1,2.5,468500.0
1023,3,1.0,Tier2,1951,1,3.8,385800.0
2599,3,3.5,Tier3,2011,1,19.4,605200.0
1927,3,2.0,Tier3,1952,1,7.3,479600.0
3454,2,2.5,Tier2,1995,1,13.3,819400.0
1618,3,1.5,Tier2,2017,1,4.6,621700.0
1414,3,1.5,Tier3,1974,0,5.8,357100.0
959,4,2.0,Tier2,2000,0,56.1,282400.0
951,3,2.0,Tier3,1962,0,3.4,350200.0
2462,3,2.0,Rural,1993,0,8.5,455900.0
3298,2,3.0,Tier3,1984,1,22.3,692100.0
1555,3,3.0,Tier3,2004,1,3.3,424500.0
1508,2,3.5,Tier3,1958,1,6.4,490000.0
1686,3,3.0,Tier3,1951,1,11.5,485700.0
2678,2,1.0,Tier2,2010,1,7.9,828000.0
1027,3,3.5,Tier1,1990,0,7.4,567600.0
1820,2,1.5,Tier2,1993,1,5.4,539200.0
2487,3,2.5,Tier3,2013,1,10.6,661700.0
2042,4,1.0,Tier2,1980,1,11.7,619700.0
500,2,1.5,Tier3,1996,0,12.7,254200.0
2201,3,1.5,Tier2,1951,1,0.9,714200.0
2051,3,3.5,Tier3,2018,0,12.0,567600.0
2907,1,2.0,Tier1,2007,0,36.8,896100.0
